<<<<<<< Updated upstream
,nData.postingID,nData.SearchTerm,nData.job.title,nData.company,nData.date,nData.location,nData.summary,nData.kWord
,nData.postingID,nData.SearchTerm,nData.job.title,nData.company,nData.date,nData.location,nData.summary,nData.kWord
1,1,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
2,2,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
3,3,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
4,4,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
5,5,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
6,6,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
7,7,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
8,8,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
9,9,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
10,10,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
11,11,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
12,12,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
13,13,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
14,14,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
15,15,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
16,16,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
17,17,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
18,18,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
19,19,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
20,20,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
21,21,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
22,22,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
23,23,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
24,24,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
25,25,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
26,26,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
27,27,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
28,28,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
29,29,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
30,30,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
31,31,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
32,32,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
33,33,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
34,34,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
35,35,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
36,36,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
37,37,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
38,38,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
39,39,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
40,40,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
41,41,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
42,42,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
43,43,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
44,44,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
45,45,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
46,46,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
47,47,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
48,48,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
49,49,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
50,50,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
51,51,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
52,52,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
53,53,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
54,54,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
55,55,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
56,56,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
57,57,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
58,58,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
59,59,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
60,60,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
61,61,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
62,62,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
63,63,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
64,64,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
65,65,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
66,66,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
67,67,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
68,68,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
69,69,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
70,70,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
71,71,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
72,72,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
73,73,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
74,74,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
75,75,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
76,76,Data Engineer,Data Engineer,Amazon,16 days ago,"Seattle, WA","Â¢ Data Analysis:. Experience with large scale data processing, data structure optimization and scalability of algorithms a plus....","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
77,77,Data Engineer,Data Engineer,Indeed,30+ days ago,"Austin, TX 78731",How a Data Engineer works. Develop and maintain data dictionary for published data sources. Work closely with stakeholders on the data demand side (analysts and...,"Database(0), Spark(1), SPSS(0), SAS(0), SQL(3), 5"
78,78,Data Engineer,Data Migration Engineer -Oracle (2) Positions,"Key Management Group, Inc.",8 days ago,"East Brunswick, NJ","Perform analysis of legacy data, data models, and advise migration manager on the best way to migrate and manipulate client data....","Database(2), Spark(0), SPSS(0), SAS(0), SQL(1), 5"
79,79,Data Engineer,Database Engineer,"Paragon Technology Group, INC.",30+ days ago,"Scott AFB, IL","Database Engineer is responsible for all aspects of the design, development and delivery / implementation of data and database solutions....","Database(1), Spark(0), SPSS(0), SAS(0), SQL(2), 5"
80,80,Data Engineer,Big Data Software Engineer,Sila SG,30+ days ago,"Arlington, VA","1.5 trillion data points stored. Design, develop, and implement Hadoop-based big data solutions. As a Big Data Software Engineer with Sila, you will have the...","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
81,81,Data Engineer,Data Engineer,Amazon,16 days ago,"Seattle, WA","Â¢ Data Analysis:. Experience with large scale data processing, data structure optimization and scalability of algorithms a plus....","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
82,82,Data Engineer,Data Engineer,Indeed,30+ days ago,"Austin, TX 78731",How a Data Engineer works. Develop and maintain data dictionary for published data sources. Work closely with stakeholders on the data demand side (analysts and...,"Database(0), Spark(1), SPSS(0), SAS(0), SQL(3), 5"
83,83,Data Engineer,Data Migration Engineer -Oracle (2) Positions,"Key Management Group, Inc.",8 days ago,"East Brunswick, NJ","Perform analysis of legacy data, data models, and advise migration manager on the best way to migrate and manipulate client data....","Database(2), Spark(0), SPSS(0), SAS(0), SQL(1), 5"
84,84,Data Engineer,Database Engineer,"Paragon Technology Group, INC.",30+ days ago,"Scott AFB, IL","Database Engineer is responsible for all aspects of the design, development and delivery / implementation of data and database solutions....","Database(1), Spark(0), SPSS(0), SAS(0), SQL(2), 5"
85,85,Data Engineer,Big Data Software Engineer,Sila SG,30+ days ago,"Arlington, VA","1.5 trillion data points stored. Design, develop, and implement Hadoop-based big data solutions. As a Big Data Software Engineer with Sila, you will have the...","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
86,86,Data Engineer,Data Engineer,Amazon,16 days ago,"Seattle, WA","Â¢ Data Analysis:. Experience with large scale data processing, data structure optimization and scalability of algorithms a plus....","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
87,87,Data Engineer,Data Engineer,Indeed,30+ days ago,"Austin, TX 78731",How a Data Engineer works. Develop and maintain data dictionary for published data sources. Work closely with stakeholders on the data demand side (analysts and...,"Database(0), Spark(1), SPSS(0), SAS(0), SQL(3), 5"
88,88,Data Engineer,Data Migration Engineer -Oracle (2) Positions,"Key Management Group, Inc.",8 days ago,"East Brunswick, NJ","Perform analysis of legacy data, data models, and advise migration manager on the best way to migrate and manipulate client data....","Database(2), Spark(0), SPSS(0), SAS(0), SQL(1), 5"
89,89,Data Engineer,Database Engineer,"Paragon Technology Group, INC.",30+ days ago,"Scott AFB, IL","Database Engineer is responsible for all aspects of the design, development and delivery / implementation of data and database solutions....","Database(1), Spark(0), SPSS(0), SAS(0), SQL(2), 5"
90,90,Data Engineer,Big Data Software Engineer,Sila SG,30+ days ago,"Arlington, VA","1.5 trillion data points stored. Design, develop, and implement Hadoop-based big data solutions. As a Big Data Software Engineer with Sila, you will have the...","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
91,91,Data Engineer,Data Engineer,Amazon,16 days ago,"Seattle, WA","Â¢ Data Analysis:. Experience with large scale data processing, data structure optimization and scalability of algorithms a plus....","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
92,92,Data Engineer,Data Engineer,Indeed,30+ days ago,"Austin, TX 78731",How a Data Engineer works. Develop and maintain data dictionary for published data sources. Work closely with stakeholders on the data demand side (analysts and...,"Database(0), Spark(1), SPSS(0), SAS(0), SQL(3), 5"
93,93,Data Engineer,Data Migration Engineer -Oracle (2) Positions,"Key Management Group, Inc.",8 days ago,"East Brunswick, NJ","Perform analysis of legacy data, data models, and advise migration manager on the best way to migrate and manipulate client data....","Database(2), Spark(0), SPSS(0), SAS(0), SQL(1), 5"
94,94,Data Engineer,Database Engineer,"Paragon Technology Group, INC.",30+ days ago,"Scott AFB, IL","Database Engineer is responsible for all aspects of the design, development and delivery / implementation of data and database solutions....","Database(1), Spark(0), SPSS(0), SAS(0), SQL(2), 5"
95,95,Data Engineer,Big Data Software Engineer,Sila SG,30+ days ago,"Arlington, VA","1.5 trillion data points stored. Design, develop, and implement Hadoop-based big data solutions. As a Big Data Software Engineer with Sila, you will have the...","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
96,96,Data Engineer,Data Engineer,Amazon,16 days ago,"Seattle, WA","Â¢ Data Analysis:. Experience with large scale data processing, data structure optimization and scalability of algorithms a plus....","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
97,97,Data Engineer,Data Engineer,Indeed,30+ days ago,"Austin, TX 78731",How a Data Engineer works. Develop and maintain data dictionary for published data sources. Work closely with stakeholders on the data demand side (analysts and...,"Database(0), Spark(1), SPSS(0), SAS(0), SQL(3), 5"
98,98,Data Engineer,Data Migration Engineer -Oracle (2) Positions,"Key Management Group, Inc.",8 days ago,"East Brunswick, NJ","Perform analysis of legacy data, data models, and advise migration manager on the best way to migrate and manipulate client data....","Database(2), Spark(0), SPSS(0), SAS(0), SQL(1), 5"
99,99,Data Engineer,Database Engineer,"Paragon Technology Group, INC.",30+ days ago,"Scott AFB, IL","Database Engineer is responsible for all aspects of the design, development and delivery / implementation of data and database solutions....","Database(1), Spark(0), SPSS(0), SAS(0), SQL(2), 5"
100,100,Data Engineer,Big Data Software Engineer,Sila SG,30+ days ago,"Arlington, VA","1.5 trillion data points stored. Design, develop, and implement Hadoop-based big data solutions. As a Big Data Software Engineer with Sila, you will have the...","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
101,101,Data Engineer,Data Engineer,Amazon,16 days ago,"Seattle, WA","Â¢ Data Analysis:. Experience with large scale data processing, data structure optimization and scalability of algorithms a plus....","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
102,102,Data Engineer,Data Engineer,Indeed,30+ days ago,"Austin, TX 78731",How a Data Engineer works. Develop and maintain data dictionary for published data sources. Work closely with stakeholders on the data demand side (analysts and...,"Database(0), Spark(1), SPSS(0), SAS(0), SQL(3), 5"
103,103,Data Engineer,Data Migration Engineer -Oracle (2) Positions,"Key Management Group, Inc.",8 days ago,"East Brunswick, NJ","Perform analysis of legacy data, data models, and advise migration manager on the best way to migrate and manipulate client data....","Database(2), Spark(0), SPSS(0), SAS(0), SQL(1), 5"
104,104,Data Engineer,Database Engineer,"Paragon Technology Group, INC.",30+ days ago,"Scott AFB, IL","Database Engineer is responsible for all aspects of the design, development and delivery / implementation of data and database solutions....","Database(1), Spark(0), SPSS(0), SAS(0), SQL(2), 5"
105,105,Data Engineer,Big Data Software Engineer,Sila SG,30+ days ago,"Arlington, VA","1.5 trillion data points stored. Design, develop, and implement Hadoop-based big data solutions. As a Big Data Software Engineer with Sila, you will have the...","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
106,106,Data Engineer,Data Engineer,Amazon,16 days ago,"Seattle, WA","Â¢ Data Analysis:. Experience with large scale data processing, data structure optimization and scalability of algorithms a plus....","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
107,107,Data Engineer,Data Engineer,Indeed,30+ days ago,"Austin, TX 78731",How a Data Engineer works. Develop and maintain data dictionary for published data sources. Work closely with stakeholders on the data demand side (analysts and...,"Database(0), Spark(1), SPSS(0), SAS(0), SQL(3), 5"
108,108,Data Engineer,Data Migration Engineer -Oracle (2) Positions,"Key Management Group, Inc.",8 days ago,"East Brunswick, NJ","Perform analysis of legacy data, data models, and advise migration manager on the best way to migrate and manipulate client data....","Database(2), Spark(0), SPSS(0), SAS(0), SQL(1), 5"
109,109,Data Engineer,Database Engineer,"Paragon Technology Group, INC.",30+ days ago,"Scott AFB, IL","Database Engineer is responsible for all aspects of the design, development and delivery / implementation of data and database solutions....","Database(1), Spark(0), SPSS(0), SAS(0), SQL(2), 5"
110,110,Data Engineer,Big Data Software Engineer,Sila SG,30+ days ago,"Arlington, VA","1.5 trillion data points stored. Design, develop, and implement Hadoop-based big data solutions. As a Big Data Software Engineer with Sila, you will have the...","Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
